# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Apr 29 12:37:50 UTC 2026

5da0d83f66c9700009b96d0e | Vevo R&amp;B
5dae084727c8af0009fe40a4 | Tosh.0
5dae0b4841a7d0000938ddbd | Court TV
5dc0c78281eddb0009a02d5e | ET
5dc1cb279c91420009db261d | Home.Made.Nation
5dc48170e280c80009a861ab | CBS News New York
5dc481cda1d430000948a1b4 | CBS News Los Angeles
5dc9b8223687ff000936ed79 | CBS News New York
5dc9b875e280c80009a8a44a | CBS News Los Angeles
5de94dacb394a300099fa22a | PGA TOUR
5df97894467dfa00091c873c | NBC News NOW
5e1f7da4bc7d740009831259 | America's Voice News
5e1f7e089f23700009d66303 | COPS
5e46fba0c43b0d00096e5ac1 | Blaze Live
5e54187aae660e00093561d6 | Game Show Central
5e66968a70f34c0007d050be | MLB
5e7cf6c7b156d500078c5f44 | OAN Plus
5e82530945600e0007ca076c | All Reality WE tv
5e825550e758c700077b0aef | The Rifleman
5e82bb378601b80007b4bd78 | The Walking Dead en español
5e84f54a82f05300080e6746 | America's Test Kitchen
5e8df4bc16e34700077e77d3 | Western TV
5e94cd036cc69d0007e8a1ba | Crímenes imperfectos
5e9debf8c881310007d7bde1 | Deal or No Deal
5e9decb953e157000752321c | Judge Nosey
5e9f2c05172a0f0007db4786 | CBS Sports HQ
5eb1aeb2fd4b8a00076c2047 | CBS News Chicago
5eb1af2ad345340008fccd1e | CBS News Boston
5eb1afb21486df0007abc57c | CBS News Bay Area
5eb1b05ea168cc000767ba67 | CBS News Philadelphia
5eb1b0bf2240d8000732a09c | CBS News Minnesota
5eb1b12146cba40007aa7e5d | CBS News Colorado
5eb1b17aa5277e00083f6521 | CBS News Pittsburgh
5eb301b7395671000780d100 | Little Angel's Playroom
5ebc8688f3697d00072f7cf8 | Bellator MMA
5eceb0d4065c240007688ec6 | CBS News Texas
5ef3958c66ac540007d6e6a7 | Dark Shadows
5ef3977e5d773400077de284 | Three's Company
5efbd29e4aa26700076c0d06 | CSI
5efbd39f8c4ce900075d7698 | Star Trek
5f15e32b297f96000768f928 | Classic TV Comedy
5f15e3cccf49290007053c67 | Classic TV Drama
5f21e7b24744c60007c1f6fc | Survivor
5f21e8a6e2f12b000755afdb | The Amazing Race
5f21ea08007a49000762d349 | Smithsonian Channel Selects
5f24662bebe0f0000767de32 | Supernatural Drama
5f31fd1b4c510e00071c3103 | Pluto TV Crime Drama
5f32f26bcd8aea00071240e5 | Vevo '70s
5f36d726234ce10007784f2a | The Bob Ross Channel
5f4d83e0a382c00007bc02e7 | Beverly Hills 90210
5f4d8594eb979c0007706de7 | Pluto TV Crime Movies
5f4d863b98b41000076cd061 | Pluto TV Staff Picks
5f4d86f519358a00072b978e | 90s Throwback
5f4d878d3d19b30007d2e782 | 70s Cinema
5f4d882d5233170007ee880e | Misterios sin resolver
5f4ec10ed9636f00089b8c89 | Yu-Gi-Oh!
5f513564e4622a0007c578c0 | Cine comedia
5f5136317aedfb0007016f93 | Cine Amor
5f68f53eb1e5800007390bf8 | CMT Equal Play
5f7790b3ed0c88000720b241 | One Piece
5f7791b8372da90007fd45e6 | The Price Is Right: The Barker Era
5f77939a630f530007dde654 | Family Ties
5f7794162a4559000781fc12 | Happy Days
5f7794a788d29000079d2f07 | The Love Boat
5f7796e470510900070d4e3d | Beverly Hillbillies
5f77977bd924d80007eee60c | Mission Impossible
5f779951372da90007fd45e8 | Classica
5f8a02476b72230007e62b7d | HSN
5fb584b7613a31000789de5a | Ryan and Friends
5fc54366b04b2300072e31af | PokerGO
5fd7b8bf927e090007685853 | Vevo '80s
5fd7bb1f86d94a000796e2c2 | Vevo '90s
5fd7bca3e0a4ee0007a38e8c | Vevo 2K
5ff8c708653d080007361b14 | Paramount+ Picks
5fff49cfb5cd4f0007c2b0dc | News 12 New York
6000a5a9e767980007b497ca | A&amp;E Crime 360
6000a6f4c3f8550008fc9b91 | Xtreme Outdoor by HISTORY
601a0342dcf4370007566891 | Tiny House Nation
6036e6e7ac69c400072afca2 | Hot Bench
6036e7c385749f00075dbd3b | Pluto TV Game Shows
603fde9026ecbf0007752c2c | Pluto TV Competition
604928d54a4f730007ff76bc | CSI en Español
6049295e7dcef800073c2499 | Star Trek en español
60492e6d7f3f560007ab0f62 | Estrella News
60493283ffc52f000710edae | Little Angel's Playroom en Español
605e479d5b8229000763e697 | Sony Canal Escape Perfecto
60807fd5db701400078219c2 | Ink Master
609bfa51fbecc1000733152e | Jersey Shore
60a3d889a5b3690008dc7fe8 | Bar Rescue
60cb6df2b2ad610008cd5bea | CBS News Sacramento
60d39387706fe50007fda8e8 | PBR RidePass
60d393e5579a420007ee553c | Casos de la Dra. Polo
60f5d389985a0c0007357304 | BritBox Mysteries
60f75178e7f8aa0007e9c259 | The Andy Griffith Show
60f754f98185580007eb0754 | Matlock
60f75771dfc72a00071fd0e0 | Gunsmoke
60f75919718aed0007250d7a | CBS News Baltimore
60f760bbdf090700075d7bfe | Best of Dr. Phil
60f85644a9493e0007a1f035 | BET Classics
60faf9ddfcc1f200070a5932 | Garfield and Friends
60faffc3fbbc120007fc4376 | Baby Shark TV
60fb01a24795a6000762fe83 | LEGO Kids TV
60fb040d4795a6000762fe8f | Kartoon Channel!
60fb053712f22a0007ff14d2 | Transformers TV
60fb299b79498900070b29e0 | CBS News Miami
60fb2f47c133270007327375 | Cine aventura
6127e12ed140e900077e7b6f | Teen Mom
61325c4f982acd000723287e | Classic TV Crime Drama
61325d18f5166c00081b84e0 | Classic TV: Families
613260e4bdb71c00070d63fa | More TV Drama
6132619f9ddaa50007e7dd86 | More TV Sitcoms
61326275b3c86a00078e4833 | BET Throwbacks
615b8ec39e878900073f419a | Antiques Road Trip
6176f39e709f160007ec61c3 | 48 Hours
6176fd25e83a5f0007a464c9 | Bounce XL
617b37b361e0fd0008cfd8c5 | Pluto TV Reaction
6197086891ddd4000739941a | Perry Mason
61b3b8c645b45d0007a9bb8d | Blue Bloods
61d4b38226b8a50007fe03a6 | Vevo Rock
61d4c2817a823d00070ba53e | Vevo True School Hip-Hop
61e9af6bfbbcc6000700119b | WeatherNation Los Angeles
61f07513227feb00073ee6bc | Heartland
61f33318210549000806a530 | Classic Movie Westerns
620bfa7df72827000703ddb1 | Stargate
623a1b5188ecdc0007c9ef5a | XITE Rock x Metal
623b92a2ccefed0007b1db48 | XITE Classic Country
623b93628e6ded0007337d4d | XITE Gospel
6267352efcf21c0007c76642 | Let's Make A Deal
627d355aa95efd00077afcc7 | Cheaters
6283d51144ad8f0007fa382d | The Judge Judy Channel
628e685ba3811100070551a8 | Hallmark Movies &amp; More
62ba60f059624e000781c436 | 00s Replay
metv | MeTV
